username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Elvis_cuao;2013-07-28 09:50;0;0;"No Hay Pueblo en el Mundo Q Profese Tanto Amor por Su Presidente! #ChavezVive";;;#ChavezVive;"361491414447702016";https://twitter.com/Elvis_cuao/status/361491414447702016
hpismael;2013-07-28 09:49;0;0;""Antes De Defender La Patria, Necesario Es Amarla". #ChávezVive";;;#Ch;"361491205126754305";https://twitter.com/hpismael/status/361491205126754305
florentinorojo;2013-07-28 09:46;1;0;"Saludos, FELIZ DÌA PARA TODAS-OS #FelizCumpleañosComandanteEternoHugoChavez Tù eres Chàvez,Yo soy Chàvez #ChavezVive pic.twitter.com/HGxVqxgCAs";;;#FelizCumplea #ChavezVive;"361490421467185152";https://twitter.com/florentinorojo/status/361490421467185152
ronychircca;2013-07-28 09:45;0;0;"No me lo pregunto, me llama la atención tu analfabetismo político #CHAVEZVIVE “ @YENNY0_LEE @ronychircca Normal que también te lo preguntes”";;@YENNY0_LEE @ronychircca;#CHAVEZVIVE;"361490061369425920";https://twitter.com/ronychircca/status/361490061369425920
pineda_fco EGMorenoR;2013-07-28 09:39;0;0;"@EGMorenor @Pensando2057 saludos Esio @abefantasma y @pensando2057 mis dos cuentas,una con carácter local,otra internacional... #ChavezVive !";;@EGMorenor @Pensando2057 @abefantasma @pensando2057;#ChavezVive;"361488549201182721";https://twitter.com/pineda_fco/status/361488549201182721
josemartinez980;2013-07-28 09:37;1;0;"Un dia como hoy la vida pario un gigante,que paso de ser un arañero a libertador y comandante supremo de la revolución #chavezvive";;;#chavezvive;"361487997901864960";https://twitter.com/josemartinez980/status/361487997901864960
CBPatriaGrande;2013-07-28 09:36;1;0;"hermanos de Venezuela....tenemos el mismo sentimiento... #ChavezVive pic.twitter.com/BRr7JVnJ8H";;;#ChavezVive;"361487928075091968";https://twitter.com/CBPatriaGrande/status/361487928075091968
adricbv1989;2013-07-28 09:34;0;0;"Feliz Cumpleaños mi eterno comandante,el cielo hara una fiesta para celebrarte este dia tan Especial. #ChavezVive pic.twitter.com/Y3W0w9sFUO";;;#ChavezVive;"361487427006767104";https://twitter.com/adricbv1989/status/361487427006767104
florentinorojo mairlenr5;2013-07-28 09:33;0;0;"@mairlenr5 Saludos Mairlen, si estàs en mi lista #FelizCumpleañosComandanteEternoHugoChavez Tù eres Chàvez,Yo soy Chàvez #ChavezVive";;@mairlenr5;#FelizCumplea #ChavezVive;"361487157036204034";https://twitter.com/florentinorojo/status/361487157036204034
ronychircca;2013-07-28 09:33;1;1;"Por Aqui paso Bolivar y Chavez ! “ http://www. youtube.com/watch?v=iR_ww- 2c8FU … "Mirenlo como regresa a llenarnos de Amor en este inmenso desierto.." #ChavezVive ”";;;#ChavezVive;"361486959186673665";https://twitter.com/ronychircca/status/361486959186673665
