username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
makokini;2017-06-29 19:50;2;0;"#SOSVenezuela @Almagro_OEA2015 @OEA_oficial @UN @IPPDHMERCOSUR @HRW_Venezuela @JMVivancoHRW @AsambleaVE @PorHumanidad @alfredoromero #29Jun pic.twitter.com/AwcarS2gXT";;@Almagro_OEA2015 @OEA_oficial @UN @IPPDHMERCOSUR @HRW_Venezuela @JMVivancoHRW @AsambleaVE @PorHumanidad @alfredoromero;#SOSVenezuela #29Jun;"880574118478925824";https://twitter.com/makokini/status/880574118478925824
Olmos_R;2017-06-29 19:49;3;1;"Hoy #29Jun también recibió amenaza de saqueo Servipork, de La Morita #Aragua #Saqueos #Hambre #SOSVenezuela";;;#29Jun #Aragua #Saqueos #Hambre #SOSVenezuela;"880574061683912704";https://twitter.com/Olmos_R/status/880574061683912704
cosmerojas3;2017-06-29 19:49;0;0;"#SOSVenezuela . Oblitas "impedir el derecho al voto es un delito en sí mismo y la limitación de un derecho... http:// fb.me/1si47NTrw";;;#SOSVenezuela;"880574051969900548";https://twitter.com/cosmerojas3/status/880574051969900548
Valentinasiop;2017-06-29 19:49;0;0;"@OEA_oficial @ONU_derechos @ONU_es @marcorubio @realDonaldTrump @Almagro_OEA2015 #SOSVenezuela #29Jun https:// twitter.com/CATERINAV/stat us/880559936119296003 …";;@OEA_oficial @ONU_derechos @ONU_es @marcorubio @realDonaldTrump @Almagro_OEA2015;#SOSVenezuela #29Jun;"880573975172087809";https://twitter.com/Valentinasiop/status/880573975172087809
niria2010;2017-06-29 19:49;6;1;"Maracay esta desolada y llena de escombros como 1 campo de batalla,todo sus comercios saqueados,sin Alimentos para comprar #SOSVenezuela";;;#SOSVenezuela;"880573942435655680";https://twitter.com/niria2010/status/880573942435655680
gleonv;2017-06-29 19:49;1;0;"#SOSVenezuela #UltimatumAlRegimen https:// twitter.com/amoleiro/statu s/880382446394593280 …";;;#SOSVenezuela #UltimatumAlRegimen;"880573936211308544";https://twitter.com/gleonv/status/880573936211308544
Ale82Venezuela;2017-06-29 19:49;0;0;"#SosVenezuela https:// twitter.com/ReporteYa/stat us/880552366075912192 …";;;#SosVenezuela;"880573925599694848";https://twitter.com/Ale82Venezuela/status/880573925599694848
nathy2050;2017-06-29 19:48;0;0;"@marcorubio @realDonaldTrump @Almagro_OEA2015 @OEA_oficial #SosVenezuela @CNN @FoxNews @MSNBC #SosVenezuela @MiamiHerald threats of War! https:// twitter.com/MariaCorinaYA/ status/879824966711115778 …";;@marcorubio @realDonaldTrump @Almagro_OEA2015 @OEA_oficial @CNN @FoxNews @MSNBC @MiamiHerald;#SosVenezuela #SosVenezuela;"880573791939829760";https://twitter.com/nathy2050/status/880573791939829760
carolain153;2017-06-29 19:47;0;0;"#ultimatumalregimen #SOSVenezuela https:// twitter.com/ElOscarperezgv /status/880538493025492994 …";;;#ultimatumalregimen #SOSVenezuela;"880573470396076033";https://twitter.com/carolain153/status/880573470396076033
carolain153;2017-06-29 19:47;0;0;"#ultimatumalregimen #SOSVenezuela https:// twitter.com/ElOscarperezgv /status/880523413990854656 …";;;#ultimatumalregimen #SOSVenezuela;"880573429224800256";https://twitter.com/carolain153/status/880573429224800256
Hades550;2017-06-29 19:47;0;0;"#TrancandoSalvasAVzla #SOSVenezuela #29Jun https:// twitter.com/Jillespi/statu s/880570183751880704 …";;;#TrancandoSalvasAVzla #SOSVenezuela #29Jun;"880573384941326338";https://twitter.com/Hades550/status/880573384941326338
vzlabroker;2017-06-29 19:47;1;0;"#SOSVenezuela #USB #AbajoLaDictadura Torturan Estudiantes PNB Asesinos @GobiernoUSA @USAenEspanol @OEA_oficial https:// twitter.com/albertort51/st atus/880537380666703872 …";;@GobiernoUSA @USAenEspanol @OEA_oficial;#SOSVenezuela #USB #AbajoLaDictadura;"880573369694998528";https://twitter.com/vzlabroker/status/880573369694998528
menico_1;2017-06-29 19:46;0;0;"#SOSVenezuela #SOSVzla https:// twitter.com/Oenomaus04/sta tus/880389742675808256 …";;;#SOSVenezuela #SOSVzla;"880573311863971840";https://twitter.com/menico_1/status/880573311863971840
carolain153;2017-06-29 19:46;0;1;"#ultimatumalregimen #SOSVenezuela Te apoyamos, creo en ti.";;;#ultimatumalregimen #SOSVenezuela;"880573284378710017";https://twitter.com/carolain153/status/880573284378710017
trafficTACHIRA;2017-06-29 19:46;9;2;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573214228971522";https://twitter.com/trafficTACHIRA/status/880573214228971522
trafficMGTA;2017-06-29 19:46;5;1;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573214077968385";https://twitter.com/trafficMGTA/status/880573214077968385
trafficMcbo;2017-06-29 19:46;14;5;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573214073782272";https://twitter.com/trafficMcbo/status/880573214073782272
trafficVALENCIA;2017-06-29 19:46;10;1;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573214069489665";https://twitter.com/trafficVALENCIA/status/880573214069489665
traffiCARACAS;2017-06-29 19:46;15;7;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573214065340417";https://twitter.com/traffiCARACAS/status/880573214065340417
trafficLARA;2017-06-29 19:46;34;2;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573213771694080";https://twitter.com/trafficLARA/status/880573213771694080
trafficMIRANDA;2017-06-29 19:46;19;3;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573213767606272";https://twitter.com/trafficMIRANDA/status/880573213767606272
vagabar;2017-06-29 19:46;0;0;"#SOSVenezuela https:// twitter.com/NTN24ve/status /880572679509733376 …";;;#SOSVenezuela;"880573178778726404";https://twitter.com/vagabar/status/880573178778726404
carolain153;2017-06-29 19:46;0;0;"#ultimatumalregimen #SOSVenezuela https:// twitter.com/ElOscarperezgv /status/880532672329678849 …";;;#ultimatumalregimen #SOSVenezuela;"880573136315527169";https://twitter.com/carolain153/status/880573136315527169
jd2728;2017-06-29 19:45;0;0;"#SOSVZLA #SOSVenezuela https:// twitter.com/Wandygp/status /880571242788605954 …";;;#SOSVZLA #SOSVenezuela;"880573079608590336";https://twitter.com/jd2728/status/880573079608590336
Ale82Venezuela;2017-06-29 19:45;0;0;"#SosVenezuela https:// twitter.com/ReporteYa/stat us/880561522082287621 …";;;#SosVenezuela;"880572989015773184";https://twitter.com/Ale82Venezuela/status/880572989015773184
info_vecino;2017-06-29 19:45;0;0;"#Denuncia #SosVenezuela así no se trata ni a animales. Detenidos en camión sin ventilación con gas @AlejandroSanz @ricky_martin @OEA_oficial https:// twitter.com/RobiroTeran/st atus/880513225707712512 …";;@AlejandroSanz @ricky_martin @OEA_oficial;#Denuncia #SosVenezuela;"880572881767452672";https://twitter.com/info_vecino/status/880572881767452672
jess_pantoja;2017-06-29 19:44;0;0;"Demasiado bueno.. Así somos de verdad #SOSVENEZUELA https:// twitter.com/Leonardo_Padro n/status/880186797782945792 …";;;#SOSVENEZUELA;"880572749864996864";https://twitter.com/jess_pantoja/status/880572749864996864
CeciliaZumbaFan;2017-06-29 19:44;0;0;"#SOSVenezuela #UltimátumAlRégimen https:// twitter.com/barbaradeccs/s tatus/880569023208898560 …";;;#SOSVenezuela #Ultim;"880572732144062464";https://twitter.com/CeciliaZumbaFan/status/880572732144062464
vagabar;2017-06-29 19:44;0;0;"#SOSVenezuela https:// twitter.com/alfredoromero/ status/880569888938405888 …";;;#SOSVenezuela;"880572659578408961";https://twitter.com/vagabar/status/880572659578408961
vagabar;2017-06-29 19:43;0;0;"#SOSVenezuela";;;#SOSVenezuela;"880572504477229058";https://twitter.com/vagabar/status/880572504477229058
